CID;Descrição CID;Classificação Final (2025)
C469;Sarcoma de Kaposi, não especificado;CR Sarcomas e Tumores Ósseos
C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;CR Tumores do Sistema Nervoso Central
C470;Neoplasia maligna dos nervos periféricos da cabeça, face e pescoço;CR Tumores do Sistema Nervoso Central
C471;Neoplasia maligna dos nervos periféricos dos membros superiores, incluindo ombro;CR Tumores do Sistema Nervoso Central
C472;Neoplasia maligna dos nervos periféricos dos membros inferiores, incluindo quadril;CR Tumores do Sistema Nervoso Central
C473;Neoplasia maligna dos nervos periféricos do tórax;CR Tumores do Sistema Nervoso Central
C474;Neoplasia maligna dos nervos periféricos do abdome;CR Tumores do Sistema Nervoso Central
C475;Neoplasia maligna dos nervos periféricos da pelve;CR Tumores do Sistema Nervoso Central
C476;Neoplasia maligna dos nervos periféricos do tronco;CR Tumores do Sistema Nervoso Central
C478;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo com lesão invasiva;CR Tumores do Sistema Nervoso Central
C479;Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados;CR Tumores do Sistema Nervoso Central
C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio (tipo histológico de tumores germinativos);CR Sarcomas e Tumores Ósseos
C480;Neoplasia maligna do retroperitônio (tipo histológico de tumores germinativos);CR Sarcomas e Tumores Ósseos
C481;Neoplasia maligna de partes especificadas do peritônio;CR Sarcomas e Tumores Ósseos
C482;Neoplasia maligna do peritônio;CR Sarcomas e Tumores Ósseos
C488;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio com lesão invasiva(tipo histológico de tumores germinativos);CR Sarcomas e Tumores Ósseos
C49;Neoplasia Maligna do Tecido Conjuntivo e de Outros Tecidos Moles;CR Sarcomas e Tumores Ósseos
C490;Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço;CR Sarcomas e Tumores Ósseos
C491;Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro;CR Sarcomas e Tumores Ósseos
C492;Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril;CR Sarcomas e Tumores Ósseos
C493;Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax;CR Sarcomas e Tumores Ósseos
C494;Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome;CR Sarcomas e Tumores Ósseos
C495;Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve;CR Sarcomas e Tumores Ósseos
C496;Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco;CR Sarcomas e Tumores Ósseos
C498;Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva;CR Sarcomas e Tumores Ósseos
C499;Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados;CR Sarcomas e Tumores Ósseos
C50;Neoplasia maligna da mama;CR Tumores da Mama
C500;Neoplasia maligna do mamilo e aréola;CR Tumores da Mama
C501;Neoplasia maligna da porção central da mama;CR Tumores da Mama
C502;Neoplasia maligna do quadrante superior interno da mama;CR Tumores da Mama
C503;Neoplasia maligna do quadrante inferior interno da mama;CR Tumores da Mama
C504;Neoplasia maligna do quadrante superior externo da mama;CR Tumores da Mama
C505;Neoplasia maligna do quadrante inferior externo da mama;CR Tumores da Mama
C506;Neoplasia maligna da porção axilar da mama;CR Tumores da Mama
C508;Neoplasia maligna da mama com lesão invasiva;CR Tumores da Mama
C509;Neoplasia maligna da mama, não especificada;CR Tumores da Mama
C51;Neoplasia maligna da vulva;CR Tumores Ginecológicos
C510;Neoplasia maligna dos grandes lábios;CR Tumores Ginecológicos
C511;Neoplasia maligna dos pequenos lábios;CR Tumores Ginecológicos
C512;Neoplasia maligna do clitóris;CR Tumores Ginecológicos
C518;Neoplasia maligna da vulva com lesão invasiva;CR Tumores Ginecológicos
C519;Neoplasia maligna da vulva, não especificada;CR Tumores Ginecológicos
C52;Neoplasia maligna da vagina;CR Tumores Ginecológicos
C53;Neoplasia maligna do colo do útero;CR Tumores Ginecológicos
C530;Neoplasia maligna do endocérvix;CR Tumores Ginecológicos
C531;Neoplasia maligna do exocérvix;CR Tumores Ginecológicos
C538;Neoplasia maligna do colo do útero com lesão invasiva;CR Tumores Ginecológicos
C539;Neoplasia maligna do colo do útero, não especificado;CR Tumores Ginecológicos
C54;Neoplasia maligna do corpo do útero;CR Tumores Ginecológicos
C540;Neoplasia maligna do istmo do útero;CR Tumores Ginecológicos
C541;Neoplasia maligna do endométrio;CR Tumores Ginecológicos
C542;Neoplasia maligna do miométrio;CR Tumores Ginecológicos
C543;Neoplasia maligna do fundo do útero;CR Tumores Ginecológicos
C548;Neoplasia maligna do corpo do útero com lesão invasiva;CR Tumores Ginecológicos
C549;Neoplasia maligna do corpo do útero, não especificado;CR Tumores Ginecológicos
C55;Neoplasia maligna do útero, porção não especificada;CR Tumores Ginecológicos
C56;Neoplasia maligna do ovário;CR Tumores Ginecológicos
C57;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados;CR Tumores Ginecológicos
C570;Neoplasia maligna da trompa de Falópio;CR Tumores Ginecológicos
C571;Neoplasia maligna do ligamento largo;CR Tumores Ginecológicos
C572;Neoplasia maligna do ligamento redondo;CR Tumores Ginecológicos
C573;Neoplasia maligna do paramétrio;CR Tumores Ginecológicos
C574;Neoplasia maligna dos anexos uterinos;CR Tumores Ginecológicos
C577;Neoplasia maligna de outras partes especificadas dos órgãos genitais femininos;CR Tumores Ginecológicos
C578;Neoplasia maligna dos órgãos genitais femininos com lesão invasiva;CR Tumores Ginecológicos
C579;Neoplasia maligna de órgão genital feminino, não especificado;CR Tumores Ginecológicos
C58;Neoplasia maligna da placenta;CR Tumores Ginecológicos
C60;Neoplasia maligna do pênis;CR Tumores Urológicos
C600;Neoplasia maligna do prepúcio;CR Tumores Urológicos
C601;Neoplasia maligna da glande;CR Tumores Urológicos
C602;Neoplasia maligna do corpo do pênis;CR Tumores Urológicos
C608;Neoplasia maligna do pênis com lesão invasiva;CR Tumores Urológicos
C609;Neoplasia maligna do pênis, não especificado;CR Tumores Urológicos
C61;Neoplasia maligna da próstata;CR Tumores Urológicos
C62;Neoplasia maligna dos testículos;CR Tumores Urológicos
C620;Neoplasia maligna do testículo criptorquídico;CR Tumores Urológicos
C621;Neoplasia maligna do testículo tópico;CR Tumores Urológicos
C629;Neoplasia maligna do testículo, sem outras especificações;CR Tumores Urológicos
C63;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados;CR Tumores Urológicos
C630;Neoplasia maligna do epidídimo;CR Tumores Urológicos
C631;Neoplasia maligna do cordão espermático;CR Tumores Urológicos
C632;Neoplasia maligna do escroto;CR Tumores Urológicos
C637;Neoplasia maligna de outros órgãos genitais masculinos especificados;CR Tumores Urológicos
C638;Neoplasia maligna dos órgãos genitais masculinos com lesão invasiva;CR Tumores Urológicos
C639;Neoplasia maligna de órgão genital masculino, não especificado;CR Tumores Urológicos
C64;Neoplasia maligna do rim, exceto pelve renal;CR Tumores Urológicos
C65;Neoplasia maligna da pelve renal;CR Tumores Urológicos
C66;Neoplasia maligna dos ureteres;CR Tumores Urológicos
C67;Neoplasia maligna da bexiga;CR Tumores Urológicos
C670;Neoplasia maligna do trígono da bexiga;CR Tumores Urológicos
C671;Neoplasia maligna da cúpula da bexiga;CR Tumores Urológicos
C672;Neoplasia maligna da parede lateral da bexiga;CR Tumores Urológicos
C673;Neoplasia maligna da parede anterior da bexiga;CR Tumores Urológicos
C674;Neoplasia maligna da parede posterior da bexiga;CR Tumores Urológicos
C675;Neoplasia maligna do colo da bexiga;CR Tumores Urológicos
